"id" "make" "model" "year" "class" "trans" "drive" "cyl" "displ" "fuel" "hwy" "cty"
34718 "BMW" "428i Convertible" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Premium" 34 23
34267 "BMW" "428i Coupe" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Premium" 35 23
34268 "BMW" "428i Coupe" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 4 2 "Premium" 34 22
34857 "BMW" "428i xDrive Convertible" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 33 21
34269 "BMW" "428i xDrive Coupe" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 33 22
34783 "BMW" "435i Convertible" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 30 20
34270 "BMW" "435i Coupe" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 32 22
34271 "BMW" "435i Coupe" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 6 3 "Premium" 30 20
34272 "BMW" "435i xDrive Coupe" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 30 20
34273 "BMW" "435i xDrive Coupe" 2014 "Compact Cars" "Manual" "All-Wheel Drive" 6 3 "Premium" 28 20
34072 "BMW" "528i" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Premium" 34 23
34170 "BMW" "528i xDrive" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 33 22
34172 "BMW" "535d" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Diesel" 38 26
34173 "BMW" "535d xDrive" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3 "Diesel" 37 26
34073 "BMW" "535i" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 30 20
34143 "BMW" "535i" 2014 "Midsize Cars" "Manual" "Rear-Wheel Drive" 6 3 "Premium" 30 20
34193 "BMW" "535i Gran Turismo" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 28 19
34171 "BMW" "535i xDrive" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 29 20
34097 "BMW" "535i xDrive Gran Turismo" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 26 18
34174 "BMW" "550i" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 17
34194 "BMW" "550i Gran Turismo" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 16
34175 "BMW" "550i xDrive" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
34195 "BMW" "550i xDrive Gran Turismo" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
33484 "BMW" "640i Convertible" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 30 20
33483 "BMW" "640i Coupe" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 32 22
33487 "BMW" "640i Gran Coupe" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 30 20
33511 "BMW" "640i xDrive Convertible" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 29 20
33510 "BMW" "640i xDrive Coupe" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 29 20
33515 "BMW" "640i xDrive Gran Coupe" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 29 20
33513 "BMW" "650i Convertible" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 17
33512 "BMW" "650i Coupe" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 17
33516 "BMW" "650i Gran Coupe" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 17
33486 "BMW" "650i xDrive Convertible" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
33485 "BMW" "650i xDrive Coupe" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
33488 "BMW" "650i xDrive Gran Coupe" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
34099 "BMW" "740Li" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 29 19
34144 "BMW" "740Li xDrive" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 28 19
34098 "BMW" "740i" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 29 19
34197 "BMW" "750Li" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 16
34199 "BMW" "750Li xDrive" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
34196 "BMW" "750i" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 17
34198 "BMW" "750i xDrive" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
34204 "BMW" "760Li" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 12 6 "Premium" 20 13
34431 "BMW" "ActiveHybrid 3" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 33 25
34433 "BMW" "ActiveHybrid 5" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 30 23
34438 "BMW" "ActiveHybrid 7L" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 30 22
34201 "BMW" "Alpina B7 LWB" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 16
34203 "BMW" "Alpina B7 LWB xDrive" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
34200 "BMW" "Alpina B7 SWB" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 25 16
34202 "BMW" "Alpina B7 SWB xDrive" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 8 4.4 "Premium" 24 16
34726 "BMW" "M235i" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 32 22
34727 "BMW" "M235i" 2014 "Subcompact Cars" "Manual" "Rear-Wheel Drive" 6 3 "Premium" 28 19
33661 "BMW" "M5" 2014 "Midsize Cars" "Manual" "Rear-Wheel Drive" 8 4.4 "Premium" 22 15
33662 "BMW" "M5" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 20 14
33544 "BMW" "M6 Convertible" 2014 "Subcompact Cars" "Manual" "Rear-Wheel Drive" 8 4.4 "Premium" 22 15
33545 "BMW" "M6 Convertible" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 20 14
33542 "BMW" "M6 Coupe" 2014 "Subcompact Cars" "Manual" "Rear-Wheel Drive" 8 4.4 "Premium" 22 15
33543 "BMW" "M6 Coupe" 2014 "Subcompact Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 20 14
33546 "BMW" "M6 Gran Coupe" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 8 4.4 "Premium" 22 15
33547 "BMW" "M6 Gran Coupe" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 8 4.4 "Premium" 20 14
33552 "BMW" "X1 sDrive28i" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Premium" 34 23
33521 "BMW" "X1 xDrive28i" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 4 2 "Premium" 33 22
33491 "BMW" "X1 xDrive35i" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 6 3 "Premium" 27 18
33479 "BMW" "Z4 sDrive28i" 2014 "Two Seaters" "Automatic" "Rear-Wheel Drive" 4 2 "Premium" 33 22
33535 "BMW" "Z4 sDrive28i" 2014 "Two Seaters" "Manual" "Rear-Wheel Drive" 4 2 "Premium" 34 22
33480 "BMW" "Z4 sDrive35i" 2014 "Two Seaters" "Manual" "Rear-Wheel Drive" 6 3 "Premium" 26 19
33481 "BMW" "Z4 sDrive35i" 2014 "Two Seaters" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 24 17
33482 "BMW" "Z4 sDrive35is" 2014 "Two Seaters" "Automatic" "Rear-Wheel Drive" 6 3 "Premium" 24 17
33514 "Bentley" "Continental GT" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 12 6 "Premium or E85" 21 12
33919 "Bentley" "Continental GT" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 8 4 "Premium" 24 15
33541 "Bentley" "Continental GT Speed Convertible" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 12 6 "Premium or E85" 20 12
33540 "Bentley" "Continental GTC" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 12 6 "Premium or E85" 20 12
33785 "Bentley" "Continental GTC" 2014 "Subcompact Cars" "Automatic" "All-Wheel Drive" 8 4 "Premium" 24 14
33548 "Bentley" "Flying Spur" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 12 6 "Premium or E85" 20 12
34310 "Bentley" "Mulsanne" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 8 6.8 "Premium" 18 11
33614 "Bugatti" "Veyron" 2014 "Two Seaters" "Automatic" "All-Wheel Drive" 16 8 "Premium" 15 8
33836 "Buick" "LaCrosse" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 6 3.6 "Gasoline or E85" 28 18
34176 "Buick" "LaCrosse" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 6 3.6 "Regular" 28 18
33839 "Buick" "LaCrosse AWD" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3.6 "Gasoline or E85" 26 17
33838 "Buick" "LaCrosse eAssist" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2.4 "Regular" 36 25
34177 "Buick" "Regal" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2 "Regular" 30 21
34178 "Buick" "Regal" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2.4 "Regular" 31 19
34179 "Buick" "Regal" 2014 "Midsize Cars" "Manual" "Front-Wheel Drive" 4 2 "Regular" 31 20
34283 "Buick" "Regal AWD" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 4 2 "Regular" 27 19
33837 "Buick" "Regal eAssist" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2.4 "Regular" 36 25
33641 "Buick" "Verano" 2014 "Compact Cars" "Manual" "Front-Wheel Drive" 4 2 "Regular" 31 20
33801 "Buick" "Verano" 2014 "Compact Cars" "Automatic" "Front-Wheel Drive" 4 2 "Regular" 30 21
33802 "Buick" "Verano" 2014 "Compact Cars" "Automatic" "Front-Wheel Drive" 4 2.4 "Regular" 32 21
33642 "Cadillac" "ATS" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 4 2.5 "Regular" 33 22
33643 "Cadillac" "ATS" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Regular" 31 21
33805 "Cadillac" "ATS" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 4 2 "Regular" 30 19
33806 "Cadillac" "ATS" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 6 3.6 "Regular" 28 18
33803 "Cadillac" "ATS AWD" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 6 3.6 "Regular" 26 18
33804 "Cadillac" "ATS AWD" 2014 "Compact Cars" "Automatic" "All-Wheel Drive" 4 2 "Regular" 29 20
33842 "Cadillac" "CTS" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 6 3.6 "Regular" 27 18
34074 "Cadillac" "CTS" 2014 "Midsize Cars" "Manual" "Rear-Wheel Drive" 8 6.2 "Premium" 19 14
34076 "Cadillac" "CTS" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 8 6.2 "Premium" 18 12
33841 "Cadillac" "CTS AWD" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3.6 "Regular" 26 18
33935 "Cadillac" "CTS Sedan" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 4 2 "Regular" 30 20
34434 "Cadillac" "CTS Sedan" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 6 3.6 "Regular" 29 18
34558 "Cadillac" "CTS Sedan" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 6 3.6 "Premium" 24 16
33840 "Cadillac" "CTS Sedan AWD" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 6 3.6 "Regular" 26 18
33934 "Cadillac" "CTS Sedan AWD" 2014 "Midsize Cars" "Automatic" "All-Wheel Drive" 4 2 "Regular" 28 19
34075 "Cadillac" "CTS V" 2014 "Midsize Cars" "Manual" "Rear-Wheel Drive" 8 6.2 "Premium" 19 14
34077 "Cadillac" "CTS V" 2014 "Midsize Cars" "Automatic" "Rear-Wheel Drive" 8 6.2 "Premium" 18 12
33856 "Cadillac" "CTS Wagon" 2014 "Station Wagons" "Automatic" "Rear-Wheel Drive" 6 3 "Regular" 26 18
33859 "Cadillac" "CTS Wagon" 2014 "Station Wagons" "Automatic" "Rear-Wheel Drive" 6 3.6 "Regular" 26 18
34102 "Cadillac" "CTS Wagon" 2014 "Station Wagons" "Manual" "Rear-Wheel Drive" 8 6.2 "Premium" 19 14
34103 "Cadillac" "CTS Wagon" 2014 "Station Wagons" "Automatic" "Rear-Wheel Drive" 8 6.2 "Premium" 18 12
33857 "Cadillac" "CTS Wagon AWD" 2014 "Station Wagons" "Automatic" "All-Wheel Drive" 6 3 "Regular" 26 18
33858 "Cadillac" "CTS Wagon AWD" 2014 "Station Wagons" "Automatic" "All-Wheel Drive" 6 3.6 "Regular" 26 18
34770 "Cadillac" "ELR" 2014 "Subcompact Cars" "Automatic" "Front-Wheel Drive" 4 1.4 "Premium Gas or Electricity" 35 31
34205 "Cadillac" "XTS" 2014 "Large Cars" "Automatic" "Front-Wheel Drive" 6 3.6 "Regular" 28 18
33676 "Cadillac" "XTS AWD" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 6 3.6 "Regular" 26 17
33852 "Cadillac" "XTS AWD" 2014 "Large Cars" "Automatic" "All-Wheel Drive" 6 3.6 "Premium" 24 16
33807 "Chevrolet" "Camaro" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 8 6.2 "Regular" 24 15
33808 "Chevrolet" "Camaro" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 6 3.6 "Regular" 30 19
33809 "Chevrolet" "Camaro" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 6 3.6 "Regular" 28 17
33811 "Chevrolet" "Camaro" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 6 3.6 "Regular" 27 18
33812 "Chevrolet" "Camaro" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 8 6.2 "Regular" 24 16
34052 "Chevrolet" "Camaro" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 8 6.2 "Premium" 19 14
34053 "Chevrolet" "Camaro" 2014 "Compact Cars" "Automatic" "Rear-Wheel Drive" 8 6.2 "Premium" 18 12
34793 "Chevrolet" "Camaro" 2014 "Compact Cars" "Manual" "Rear-Wheel Drive" 8 7 "Premium" 19 13
33907 "Chevrolet" "Corvette" 2014 "Two Seaters" "Manual" "Rear-Wheel Drive" 8 6.2 "Premium" 29 17
34259 "Chevrolet" "Corvette" 2014 "Two Seaters" "Automatic" "Rear-Wheel Drive" 8 6.2 "Premium" 28 16
33578 "Chevrolet" "Cruze" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2 "Diesel" 46 27
33664 "Chevrolet" "Cruze" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 1.4 "Regular" 38 26
33665 "Chevrolet" "Cruze" 2014 "Midsize Cars" "Manual" "Front-Wheel Drive" 4 1.8 "Regular" 36 25
33666 "Chevrolet" "Cruze" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 1.8 "Regular" 35 22
34078 "Chevrolet" "Cruze" 2014 "Midsize Cars" "Manual" "Front-Wheel Drive" 4 1.4 "Regular" 38 26
33663 "Chevrolet" "Cruze Eco" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 1.4 "Regular" 39 26
34079 "Chevrolet" "Cruze Eco" 2014 "Midsize Cars" "Manual" "Front-Wheel Drive" 4 1.4 "Regular" 42 28
33584 "Chevrolet" "Impala" 2014 "Large Cars" "Automatic" "Front-Wheel Drive" 4 2.5 "Regular" 31 21
33951 "Chevrolet" "Impala" 2014 "Large Cars" "Automatic" "Front-Wheel Drive" 6 3.6 "Regular" 28 18
33979 "Chevrolet" "Impala" 2014 "Large Cars" "Automatic" "Front-Wheel Drive" 6 3.6 "Gasoline or E85" 29 19
33854 "Chevrolet" "Impala Limited" 2014 "Large Cars" "Automatic" "Front-Wheel Drive" 6 3.6 "Gasoline or E85" 30 18
33853 "Chevrolet" "Impala eAssist" 2014 "Large Cars" "Automatic" "Front-Wheel Drive" 4 2.4 "Regular" 35 25
33843 "Chevrolet" "Malibu" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2 "Regular" 30 21
34311 "Chevrolet" "Malibu" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2.5 "Regular" 36 25
33844 "Chevrolet" "Malibu eAssist" 2014 "Midsize Cars" "Automatic" "Front-Wheel Drive" 4 2.4 "Regular" 36 25
34293 "Chevrolet" "SS" 2014 "Large Cars" "Automatic" "Rear-Wheel Drive" 8 6.2 "Regular" 21 14
33810 "Chevrolet" "Sonic" 2014 "Compact Cars" "Automatic" "Front-Wheel Drive" 4 1.8 "Regular" 35 25
